nohup: ignoring input

===== Training representation=graph, n_qubits=2 =====
Epoch 009 | train_loss=0.556140 | val_loss=0.476613 | val_rmse=1.045649 | lr=1.00e-03
Epoch 010 | train_loss=0.550861 | val_loss=0.467577 | val_rmse=1.035689 | lr=1.00e-03
Epoch 011 | train_loss=0.543478 | val_loss=0.466909 | val_rmse=1.034950 | lr=1.00e-03
Epoch 012 | train_loss=0.539052 | val_loss=0.469789 | val_rmse=1.038137 | lr=1.00e-03
Epoch 013 | train_loss=0.529994 | val_loss=0.465157 | val_rmse=1.033006 | lr=1.00e-03
Epoch 014 | train_loss=0.526118 | val_loss=0.449466 | val_rmse=1.015433 | lr=1.00e-03
Epoch 015 | train_loss=0.522301 | val_loss=0.435114 | val_rmse=0.999090 | lr=1.00e-03
Epoch 016 | train_loss=0.522680 | val_loss=0.455869 | val_rmse=1.022641 | lr=1.00e-03
Epoch 017 | train_loss=0.512051 | val_loss=0.438613 | val_rmse=1.003100 | lr=1.00e-03
Epoch 018 | train_loss=0.511060 | val_loss=0.448478 | val_rmse=1.014318 | lr=1.00e-03
Epoch 019 | train_loss=0.507645 | val_loss=0.463142 | val_rmse=1.030766 | lr=1.00e-03
Epoch 020 | train_loss=0.502960 | val_loss=0.427673 | val_rmse=0.990511 | lr=1.00e-03
Epoch 021 | train_loss=0.494877 | val_loss=0.427244 | val_rmse=0.990014 | lr=1.00e-03
Epoch 022 | train_loss=0.494046 | val_loss=0.435981 | val_rmse=1.000085 | lr=1.00e-03
Epoch 023 | train_loss=0.491840 | val_loss=0.432014 | val_rmse=0.995525 | lr=1.00e-03
Epoch 024 | train_loss=0.486820 | val_loss=0.437160 | val_rmse=1.001436 | lr=1.00e-03
Epoch 025 | train_loss=0.487025 | val_loss=0.435220 | val_rmse=0.999211 | lr=1.00e-03
Epoch 026 | train_loss=0.479440 | val_loss=0.420831 | val_rmse=0.982555 | lr=1.00e-03
Epoch 027 | train_loss=0.480296 | val_loss=0.456214 | val_rmse=1.023027 | lr=1.00e-03
Epoch 028 | train_loss=0.474211 | val_loss=0.424575 | val_rmse=0.986916 | lr=1.00e-03
Epoch 029 | train_loss=0.473108 | val_loss=0.439615 | val_rmse=1.004244 | lr=1.00e-03
Epoch 030 | train_loss=0.472018 | val_loss=0.416066 | val_rmse=0.976977 | lr=1.00e-03
Epoch 031 | train_loss=0.468971 | val_loss=0.450833 | val_rmse=1.016977 | lr=1.00e-03
Epoch 032 | train_loss=0.465042 | val_loss=0.423570 | val_rmse=0.985748 | lr=1.00e-03
Epoch 033 | train_loss=0.464400 | val_loss=0.424046 | val_rmse=0.986301 | lr=1.00e-03
Epoch 034 | train_loss=0.460453 | val_loss=0.412785 | val_rmse=0.973117 | lr=1.00e-03
